		Li	Ow	Li	Hw	Li	C00	Li	C01	Li	O02	Li	C03	Li	O04	Li	O05	Li	C06	Li	H07	Li	CBT	Li	F1	Li	SBT	Li	NBT	Li	OBT
58	3.45	0.540571	1.02108	0.294908	2.03936	0.27924	0.0186311	0.422714	0.030037	0.441224	0.0837802	0.545183	0.541152	0.195314	0.497908	0.520395	0.101182	0.724115	0.0441963	0.454876	0.0490224	0.124731	0.013587	0.632303	0.550884	10.6935	1.53998	0.956139	0.0937348	0.438893	3.00794
59	3.51	0.630956	1.03691	0.327144	2.05577	0.316388	0.0232146	0.498097	0.0372529	0.527679	0.0914247	0.295802	0.545437	0.24067	0.501395	0.622105	0.110195	0.896065	0.0571776	0.472528	0.0558679	0.190919	0.0225816	0.715652	0.652032	9.40895	1.98325	1.33935	0.125285	0.519179	3.05686
60	3.57	0.713973	1.05544	0.357805	2.07434	0.355414	0.028541	0.606638	0.0463443	0.638155	0.100988	0.193141	0.548331	0.294257	0.505805	0.774383	0.1218	1.10178	0.0736894	0.486589	0.0631602	0.279273	0.0361924	0.806143	0.769898	6.60963	2.30538	1.81382	0.169484	0.6102	3.11634
61	3.63	0.779175	1.07635	0.388807	2.09521	0.393928	0.0346447	0.756216	0.0580614	0.797949	0.113352	0.158612	0.550789	0.366252	0.51148	1.00018	0.137297	1.34638	0.0945508	0.496965	0.0708604	0.397852	0.0562396	0.903259	0.906439	4.03036	2.50847	2.31454	0.227797	0.709799	3.18787
62	3.69	0.818693	1.09905	0.423235	2.11868	0.434857	0.0416071	0.944998	0.0731917	1.02629	0.129784	0.154098	0.553256	0.463619	0.518902	1.32269	0.158475	1.60441	0.120239	0.510509	0.0790341	0.551805	0.0849709	1.00637	1.06364	2.32281	2.62941	2.71185	0.298398	0.813617	3.2726
63	3.75	0.830323	1.12282	0.459765	2.14501	0.477304	0.0494998	1.16627	0.0924768	1.35028	0.152112	0.167286	0.556022	0.581301	0.528515	1.74008	0.187248	1.86522	0.151082	0.518305	0.0876046	0.743537	0.124955	1.11092	1.24286	1.35954	2.70252	2.9418	0.377495	0.92301	3.37186
64	3.81	0.80865	1.14673	0.499535	2.17454	0.517556	0.058334	1.40726	0.116498	1.79689	0.182783	0.190348	0.559272	0.708708	0.540612	2.26073	0.225837	2.09584	0.186856	0.527717	0.0966123	0.977589	0.17922	1.21475	1.44515	0.853624	2.7499	3.02185	0.461365	1.03975	3.4873
65	3.87	0.754515	1.16974	0.538104	2.20736	0.557412	0.0681506	1.65369	0.145621	2.36092	0.224361	0.220357	0.563152	0.818363	0.555024	2.82514	0.275591	2.28722	0.227136	0.533725	0.106012	1.2493	0.250769	1.31493	1.67107	0.593591	2.7839	3.05353	0.548806	1.16385	3.62061
66	3.93	0.67292	1.1909	0.576813	2.24364	0.593307	0.0789258	1.88101	0.179782	3.00848	0.278999	0.255081	0.567785	0.883083	0.571062	3.35751	0.336567	2.40957	0.270897	0.53959	0.115811	1.555	0.342609	1.40943	1.9208	0.461968	2.81118	3.10982	0.64064	1.29609	3.7737
67	3.99	0.579131	1.20968	0.613848	2.28344	0.628342	0.0906884	2.07471	0.218621	3.64878	0.347305	0.295523	0.573317	0.895517	0.587826	3.71258	0.406067	2.46768	0.317092	0.54727	0.126056	1.88453	0.457336	1.49468	2.19378	0.401725	2.83564	3.23388	0.739077	1.44115	3.94917
